"champion","spell1","spell2","win","kills","deaths","assists","totalDamageDealt","goldEarned","champLevel","totalMinionsKilled","item0","item1","time","gameId"
"266","4","12","False","1","3","0","69815","6970","13","165","1054","3156","1597714865762","3538785650"
"84","4","12","True","6","0","2","94770","9117","14","196","3146","3191","1597714865762","3538785650"
"42","12","4","True","2","1","2","85286","8112","13","159","1083","3004","1597714865762","3538785650"
"154","4","11","True","0","3","8","94248","6130","11","12","1401","3047","1597714865762","3538785650"
"236","4","7","True","9","1","4","139968","11410","13","202","3006","3153","1597714865762","3538785650"
"43","4","14","True","2","5","13","24990","7039","11","11","2031","3853","1597714865762","3538785650"
"3","4","12","True","4","4","13","85199","9346","13","140","2033","3041","1597646046316","3537756120"
"120","14","12","True","12","1","7","109286","12330","14","138","2033","3052","1597646046316","3537756120"
"106","11","4","True","5","2","8","143652","9777","13","24","1413","1029","1597646046316","3537756120"
"202","1","4","True","6","1","11","131664","10381","13","163","1055","3009","1597646046316","3537756120"
"99","4","7","True","2","6","13","14980","6289","10","23","0","3859","1597646046316","3537756120"
"516","12","4","False","1","6","7","77058","7772","13","130","1054","3373","1597646046316","3537756120"
"4","12","4","False","3","4","3","77156","8147","12","154","3100","3027","1597646046316","3537756120"
"51","4","7","False","4","6","3","107844","9216","11","196","3006","3095","1597646046316","3537756120"
"412","4","14","False","1","5","9","16441","5955","10","31","2031","3857","1597646046316","3537756120"
"64","11","4","False","4","8","6","89755","7156","11","19","1412","2055","1597646046316","3537756120"
"53","4","14","False","2","6","5","16515","5102","9","26","3009","2031","1597643274765","3537730855"
"22","4","7","False","3","3","4","94519","9341","12","188","1055","3508","1597643274765","3537730855"
"113","11","4","False","3","3","6","78561","6899","11","13","3083","0","1597643274765","3537730855"
"875","4","6","False","2","5","2","63543","6895","11","117","0","1054","1597643274765","3537730855"
"62","4","12","False","1","3","3","53796","7646","12","149","3133","1036","1597643274765","3537730855"
"35","14","11","True","4","1","7","102174","7674","11","9","3030","0","1597643274765","3537730855"
"25","4","12","True","1","0","8","70901","6844","13","125","2423","3030","1597643274765","3537730855"
"51","4","1","True","7","3","4","109377","10351","12","172","3006","1038","1597643274765","3537730855"
"412","4","14","True","2","4","11","18347","6483","10","29","1031","3855","1597643274765","3537730855"
"58","4","14","True","6","3","1","112025","9833","14","172","3134","3153","1597643274765","3537730855"
"30","11","14","False","9","9","3","257443","13943","17","62","1402","3020","1597640428746","3537682902"
"246","4","14","False","5","11","7","110485","10750","14","162","3035","3142","1597640428746","3537682902"
"25","4","14","False","0","8","15","26282","8053","14","30","3157","2055","1597640428746","3537682902"
"62","4","12","False","9","8","2","154661","14604","17","231","3047","3053","1597640428746","3537682902"
"51","4","7","False","7","5","5","227843","14831","16","238","3031","3046","1597640428746","3537682902"
"202","4","7","True","10","5","12","286904","17354","17","263","3009","3031","1597640428746","3537682902"
"43","4","14","True","3","5","20","39090","9971","15","30","3174","3853","1597640428746","3537682902"
"203","4","11","True","11","8","12","208674","14928","17","38","1412","3085","1597640428746","3537682902"
"7","14","4","True","9","7","8","131427","13729","17","196","1082","3089","1597640428746","3537682902"
"126","12","4","True","8","5","8","221372","15595","18","253","3071","2421","1597640428746","3537682902"
"142","14","4","False","2","5","0","44885","5498","10","96","1056","3802","1597638534079","3537617740"
"516","12","4","False","2","2","0","44405","5247","11","118","1054","3001","1597638534079","3537617740"
"202","7","4","False","0","1","1","45202","4811","8","119","1042","1018","1597638534079","3537617740"
"876","4","11","False","0","4","1","75923","4609","9","17","2031","1052","1597638534079","3537617740"
"497","4","14","False","0","1","1","13726","3270","7","24","3859","3009","1597638534079","3537617740"
"81","4","7","True","1","0","2","65938","6976","9","162","1001","3057","1597638534079","3537617740"
"25","4","14","True","0","0","3","10286","4317","8","6","2031","3851","1597638534079","3537617740"
"82","4","12","True","1","2","2","44572","4852","10","82","3151","2055","1597638534079","3537617740"
"875","4","6","True","3","1","3","73847","7494","12","122","2031","3111","1597638534079","3537617740"
"76","4","11","True","8","1","1","109942","8310","12","9","1414","2031","1597638534079","3537617740"
"16","3","4","True","0","4","19","10711","7106","13","9","3222","3174","1597633260251","3537541881"
"236","4","7","True","4","3","8","126628","10301","14","196","1055","2055","1597633260251","3537541881"
"61","4","12","True","9","4","14","165423","13102","16","191","3020","3040","1597633260251","3537541881"
"126","12","4","True","16","2","9","191668","16610","17","212","3814","3147","1597633260251","3537541881"
"104","4","11","True","8","4","12","206822","13788","16","45","3071","3142","1597633260251","3537541881"
"115","4","12","False","7","6","5","133587","12871","15","200","1056","3020","1597633260251","3537541881"
"31","12","4","False","3","9","2","68863","8600","14","137","3905","3030","1597633260251","3537541881"
"64","11","4","False","1","9","7","124429","8489","14","30","3035","2031","1597633260251","3537541881"
"429","4","7","False","2","4","2","146609","11224","14","256","3006","3153","1597633260251","3537541881"
"80","4","14","False","4","9","4","38360","7024","11","35","2031","3857","1597633260251","3537541881"
"104","4","11","True","6","3","8","176572","11021","14","24","1412","0","1597625365204","3537338226"
"84","4","14","True","6","1","1","106319","10742","14","191","2055","2421","1597625365204","3537338226"
"51","7","4","True","3","3","5","110461","9382","11","178","1055","3031","1597625365204","3537338226"
"99","14","4","True","1","5","4","10501","5586","10","4","3222","3851","1597625365204","3537338226"
"30","4","12","True","8","4","9","105143","11190","14","139","3151","3027","1597625365204","3537338226"
"114","4","14","False","3","6","1","70491","7796","13","143","3057","3153","1597625365204","3537338226"
"202","4","7","False","7","1","2","111072","9576","11","195","3009","3031","1597625365204","3537338226"
"412","4","14","False","1","4","10","13721","5770","9","25","3105","3855","1597625365204","3537338226"
"39","14","4","False","1","7","2","72127","6824","12","155","2033","3153","1597625365204","3537338226"
"876","4","11","False","4","6","2","100880","7383","11","19","1402","3157","1597625365204","3537338226"
"268","4","12","False","1","1","0","59563","6228","11","144","0","1056","1597292459734","3532608121"
"202","4","7","False","0","3","0","50799","4898","9","122","1055","1055","1597292459734","3532608121"
"223","4","14","False","0","5","0","10629","3080","7","25","1031","2423","1597292459734","3532608121"
"875","11","4","False","1","3","0","63268","4541","9","11","2031","0","1597292459734","3532608121"
"41","4","12","False","1","3","0","52305","6063","11","114","1055","2033","1597292459734","3532608121"
"98","12","4","True","0","0","7","35984","4588","11","76","1054","2031","1597292459734","3532608121"
"51","4","7","True","6","1","2","70433","8042","10","162","3006","1038","1597292459734","3532608121"
"432","4","14","True","1","1","9","13199","4477","9","7","2031","3851","1597292459734","3532608121"
"164","4","11","True","5","2","4","73601","6352","10","15","1412","3044","1597292459734","3532608121"
"84","4","12","True","3","0","3","56875","6227","11","125","0","2031","1597292459734","3532608121"
"350","3","7","False","0","3","4","6844","3906","8","7","2055","3851","1597208328686","3531455818"
"39","12","4","False","5","6","1","71228","7681","11","137","3105","3153","1597208328686","3531455818"
"81","1","4","False","0","3","1","42486","4781","10","104","3070","2031","1597208328686","3531455818"
"421","11","4","False","3","3","4","91525","7026","10","3","1400","1001","1597208328686","3531455818"
"26","12","4","False","1","2","0","74442","5526","12","137","1082","2033","1597208328686","3531455818"
"4","12","4","True","0","2","5","84155","6946","11","143","3027","2033","1597208328686","3531455818"
"164","4","12","True","6","3","4","59008","7902","11","108","3077","2031","1597208328686","3531455818"
"76","11","4","True","5","1","4","112603","7956","12","14","2031","1414","1597208328686","3531455818"
"51","4","7","True","6","1","2","108577","10380","10","173","3006","3031","1597208328686","3531455818"
"99","4","3","True","0","2","12","21263","6545","10","8","2031","3853","1597208328686","3531455818"
"421","11","4","True","14","3","10","110374","11638","12","14","1400","2031","1597201849722","3531087779"
"51","4","7","True","6","4","11","91369","10008","11","154","3006","3095","1597201849722","3531087779"
"25","4","14","True","2","3","19","21749","7184","11","12","3009","3853","1597201849722","3531087779"
"50","4","3","True","9","3","17","102687","11010","13","144","3047","3151","1597201849722","3531087779"
"79","4","12","True","2","5","9","72818","8247","12","111","3108","3152","1597201849722","3531087779"
"81","4","7","False","1","4","5","51405","6437","11","142","1055","3158","1597201849722","3531087779"
"98","4","14","False","2","8","5","11274","5045","9","27","3109","3111","1597201849722","3531087779"
"57","4","12","False","1","7","5","48387","5668","11","97","3065","1029","1597201849722","3531087779"
"28","11","4","False","7","9","3","78442","9204","11","18","1402","3020","1597201849722","3531087779"
"246","4","14","False","5","5","4","77603","7795","13","134","3147","3134","1597201849722","3531087779"
"51","4","7","True","2","1","9","133774","10271","13","189","3006","3095","1597198987507","3531047910"
"43","4","14","True","1","3","13","27619","7004","12","13","3009","3853","1597198987507","3531047910"
"84","4","12","True","11","2","4","113877","11903","15","178","3146","3157","1597198987507","3531047910"
"120","11","6","True","6","2","8","168528","10703","14","25","3140","1400","1597198987507","3531047910"
"157","4","14","True","4","4","5","105935","9718","14","167","1055","1053","1597198987507","3531047910"
"8","12","4","False","1","5","4","106550","7955","13","173","3907","3108","1597198987507","3531047910"
"16","4","3","False","1","6","6","17520","5517","11","27","3853","1028","1597198987507","3531047910"
"81","4","7","False","1","6","6","77270","7954","11","160","3042","1036","1597198987507","3531047910"
"72","4","11","False","1","0","5","121151","7896","13","43","1401","3024","1597198987507","3531047910"
"80","12","4","False","8","7","3","83111","10200","13","148","2033","3133","1597198987507","3531047910"
"432","3","4","True","0","6","12","21476","7378","14","41","3860","3222","1597196059643","3531008128"
"164","4","12","True","4","3","5","177119","13392","17","234","3123","3078","1597196059643","3531008128"
"51","4","1","True","5","4","6","189464","12634","15","241","0","0","1597196059643","3531008128"
"79","11","4","True","2","4","13","163461","10607","15","36","3020","1402","1597196059643","3531008128"
"246","4","14","True","15","2","4","135133","14986","16","188","3147","3036","1597196059643","3531008128"
"84","12","4","False","4","6","0","119563","10475","14","202","1056","3146","1597196059643","3531008128"
"22","4","7","False","3","6","8","147833","11618","14","243","3006","3153","1597196059643","3531008128"
"412","4","14","False","2","3","8","22175","7439","12","42","3193","3857","1597196059643","3531008128"
"92","4","12","False","8","5","5","190248","14981","17","226","3047","1038","1597196059643","3531008128"
"121","4","11","False","2","6","5","172271","10310","14","16","1400","3814","1597196059643","3531008128"
"54","12","4","True","6","5","17","113913","12297","16","159","3075","0","1597126333599","3530188702"
"22","7","4","True","5","4","19","158224","13227","16","187","3006","3153","1597126333599","3530188702"
"104","11","4","True","12","2","9","293707","16817","18","77","1412","3046","1597126333599","3530188702"
"117","4","3","True","0","4","24","23314","8803","15","52","3860","3107","1597126333599","3530188702"
"84","4","12","True","8","6","10","140215","13451","16","180","3111","3151","1597126333599","3530188702"
"76","4","11","False","3","6","12","163429","10656","15","32","1414","3116","1597126333599","3530188702"
"3","12","4","False","5","7","10","151813","13564","16","232","3020","3152","1597126333599","3530188702"
"429","4","7","False","8","5","6","172055","14250","15","245","3006","3153","1597126333599","3530188702"
"875","4","14","False","2","7","10","37581","7697","13","43","1031","3857","1597126333599","3530188702"
"62","4","12","False","3","6","9","157291","11718","15","194","3812","3077","1597126333599","3530188702"
"16","7","4","False","0","4","6","10873","5550","11","31","3860","3114","1597124299611","3530193565"
"72","4","11","False","2","4","7","121253","8885","13","26","3800","2055","1597124299611","3530193565"
"236","4","1","False","6","6","3","114589","10259","13","178","2033","3508","1597124299611","3530193565"
"45","4","12","False","3","6","1","85884","8071","12","164","3009","3905","1597124299611","3530193565"
"10","12","4","False","2","6","3","100706","8995","13","170","3115","3006","1597124299611","3530193565"
"429","4","7","True","12","0","3","170848","15129","15","244","3006","3153","1597124299611","3530193565"
"25","4","14","True","1","2","13","21396","7675","12","15","2065","3853","1597124299611","3530193565"
"516","4","12","True","2","4","9","91944","8398","14","150","1054","3373","1597124299611","3530193565"
"142","14","4","True","2","6","10","100725","9179","14","160","3020","1058","1597124299611","3530193565"
"121","4","11","True","9","1","10","175910","11148","15","10","3147","3071","1597124299611","3530193565"
"4","4","14","True","15","7","19","176008","18256","17","163","3027","3100","1597121073985","3530115333"
"60","11","4","True","8","9","14","175516","12734","16","11","1414","2420","1597121073985","3530115333"
"875","14","4","True","10","8","18","54338","12226","14","55","3857","3143","1597121073985","3530115333"
"120","14","12","True","14","7","12","198449","16862","17","213","3026","3078","1597121073985","3530115333"
"235","1","4","True","2","8","25","97932","11659","15","170","1055","2421","1597121073985","3530115333"
"14","12","4","False","7","9","21","130982","11773","16","146","3068","2033","1597121073985","3530115333"
"22","4","1","False","10","9","8","179156","14988","15","244","3006","3153","1597121073985","3530115333"
"412","4","3","False","0","11","21","27860","8220","13","38","3190","3857","1597121073985","3530115333"
"84","4","12","False","10","9","11","105319","12555","15","145","1058","3136","1597121073985","3530115333"
"121","11","4","False","12","11","14","159722","12425","15","15","1412","3812","1597121073985","3530115333"
"51","4","7","False","3","6","3","157587","10771","13","231","3006","3086","1597117954137","3530055851"
"25","4","14","False","4","6","6","19106","7422","12","18","2031","3853","1597117954137","3530055851"
"39","12","4","False","0","3","3","119607","9758","15","241","3047","3153","1597117954137","3530055851"
"203","11","4","False","7","3","4","146998","10906","14","42","1412","1038","1597117954137","3530055851"
"61","4","12","False","2","4","5","118810","9162","14","195","3108","2055","1597117954137","3530055851"
"76","4","11","True","3","0","9","225894","11832","16","45","3102","1414","1597117954137","3530055851"
"114","12","4","True","3","1","1","178806","12024","17","251","3078","3074","1597117954137","3530055851"
"69","4","12","True","6","8","5","138801","12089","16","190","3040","3165","1597117954137","3530055851"
"21","7","4","True","8","3","5","174369","12922","15","237","3094","3508","1597117954137","3530055851"
"12","14","4","True","2","4","12","24358","8080","12","30","3047","2065","1597117954137","3530055851"
"236","4","7","True","8","3","9","162996","13197","14","235","3153","3071","1597113347731","3530020316"
"875","11","4","True","10","3","8","142568","11419","14","28","0","1401","1597113347731","3530020316"
"4","12","4","True","3","0","12","157279","12609","16","211","1004","3094","1597113347731","3530020316"
"8","12","4","True","5","3","6","159172","12155","15","206","3907","3020","1597113347731","3530020316"
"412","4","14","True","3","3","19","21926","8430","12","32","3857","3222","1597113347731","3530020316"
"41","12","4","False","3","5","5","191802","12098","16","247","3078","3508","1597113347731","3530020316"
"142","4","12","False","1","5","3","90055","8471","14","155","3285","3020","1597113347731","3530020316"
"76","4","11","False","3","4","2","184304","10634","14","26","1414","3027","1597113347731","3530020316"
"51","4","7","False","5","6","2","183417","13200","13","222","3006","3095","1597113347731","3530020316"
"25","4","14","False","0","9","6","15874","6816","11","15","3114","3853","1597113347731","3530020316"
"104","4","11","True","7","4","10","207015","11978","16","55","3814","3123","1597110728561","3529893170"
"22","7","4","True","11","5","7","152424","13125","14","198","3031","3153","1597110728561","3529893170"
"84","4","12","True","7","4","3","107229","11012","15","205","3191","3916","1597110728561","3529893170"
"39","4","14","True","5","6","2","101684","9633","14","180","2033","3078","1597110728561","3529893170"
"117","4","3","True","1","2","21","27230","7903","13","33","3860","3107","1597110728561","3529893170"
"7","12","4","False","3","3","9","92777","9686","15","167","2033","1058","1597110728561","3529893170"
"236","4","7","False","10","7","0","113289","11874","13","194","3006","3153","1597110728561","3529893170"
"53","4","14","False","1","6","9","22405","6261","12","30","2031","3857","1597110728561","3529893170"
"876","4","11","False","3","7","9","156952","9647","14","38","1402","3151","1597110728561","3529893170"
"92","4","12","False","4","8","5","101665","9162","14","151","3111","3812","1597110728561","3529893170"
"39","14","4","True","8","6","12","301598","20788","18","345","3153","3091","1596951246141","3527579252"
"24","4","12","True","9","8","6","309219","18554","18","307","3071","3153","1596951246141","3527579252"
"76","4","11","True","6","5","14","282181","16960","18","65","3020","3157","1596951246141","3527579252"
"235","4","7","True","4","4","12","193578","16936","18","271","3042","3094","1596951246141","3527579252"
"111","4","14","True","2","9","12","51973","10503","16","54","3050","3193","1596951246141","3527579252"
"82","12","4","False","3","12","8","198375","13854","18","226","3089","3157","1596951246141","3527579252"
"236","4","7","False","11","1","14","414551","23263","18","415","3047","3153","1596951246141","3527579252"
"3","4","3","False","3","5","11","63952","10405","17","51","3047","3860","1596951246141","3527579252"
"104","11","4","False","5","7","10","326861","17047","18","124","1412","3179","1596951246141","3527579252"
"245","12","4","False","10","5","6","265751","17541","18","253","3152","1026","1596951246141","3527579252"
"58","4","12","False","2","2","4","122255","10609","15","201","1028","3812","1596947149747","3527477703"
"7","12","4","False","0","4","4","70931","7309","13","156","2033","2055","1596947149747","3527477703"
"60","11","4","False","8","5","4","106523","9016","12","23","3151","0","1596947149747","3527477703"
"79","4","14","False","4","5","3","21695","7224","11","42","3050","3860","1596947149747","3527477703"
"157","4","3","False","1","8","5","66329","7529","11","151","1055","3046","1596947149747","3527477703"
"84","4","12","True","12","2","3","126998","13039","15","209","3111","1026","1596947149747","3527477703"
"236","4","7","True","6","2","10","116306","11541","14","217","3006","3153","1596947149747","3527477703"
"3","4","3","True","3","4","9","34273","7351","12","33","3800","3860","1596947149747","3527477703"
"121","11","4","True","2","2","11","141288","8390","14","10","1412","2031","1596947149747","3527477703"
"126","12","4","True","1","5","7","123795","9253","15","184","3134","3071","1596947149747","3527477703"
"875","4","3","True","4","1","7","20173","5301","8","26","3742","3855","1596940753418","3527337629"
"523","7","4","True","2","1","6","52519","6957","10","130","0","1042","1596940753418","3527337629"
"76","4","11","True","10","0","3","93918","7834","11","22","1414","2031","1596940753418","3527337629"
"126","4","12","True","3","4","3","59420","5935","10","106","2033","2055","1596940753418","3527337629"
"43","12","4","True","1","1","6","54115","6064","10","120","3174","3158","1596940753418","3527337629"
"518","4","14","False","1","4","0","46704","4845","9","106","3030","2423","1596940753418","3527337629"
"85","12","4","False","3","3","2","39548","5669","11","108","2031","3191","1596940753418","3527337629"
"120","11","6","False","1","5","2","80988","5455","9","9","3057","2031","1596940753418","3527337629"
"429","4","7","False","2","5","0","47316","5707","9","131","3006","3153","1596940753418","3527337629"
"412","4","14","False","0","3","3","10060","3819","8","25","2031","3855","1596940753418","3527337629"
